Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	CD	CD	CD	CD	CD	Control	Control	Control	Control	Control
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__uncultured	1.0	1.0	1.0	1.0	64.0	1.0	1.0	1.0	3.0	24.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	11.0	214.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	1.0	1.0	1.0	1.0	685.0	1.0	1.0	13.5	42.5	866.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	14.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured	1.0	1.0	1.0	1.0	16.0	1.0	1.0	1.0	5.0	11.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Catabacter	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	5.75	9.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	1.0	1.0	1.0	3.25	561.0	1.0	1.0	37.5	101.75	275.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	1.0	11.25	41.0	115.0	1155.0	1.0	23.25	40.5	89.5	291.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089	1.0	1.0	1.0	6.0	39.0	1.0	1.0	1.0	5.0	12.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	1.0	1.0	18.0	410.0	2700.0	1.0	79.0	282.5	465.0	1742.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	1.0	1.0	1.0	1.0	23.0	1.0	1.0	1.0	1.0	11.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__uncultured	1.0	1.0	1.0	1.0	51.0	1.0	1.0	1.0	10.0	95.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__uncultured;g__uncultured	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Clostridium]_methylpentosum_group;g__[Clostridium]_methylpentosum_group	1.0	1.0	1.0	1.0	15.0	1.0	1.0	1.0	1.0	4.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospirales;g__Hydrogenoanaerobacterium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	1.0	169.5	626.5	2194.75	7606.0	4.0	778.75	1866.0	3296.75	16552.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	1.0	1.0	1.0	5.75	11.0	1.0	1.0	1.0	3.0	44.0
